n,seed,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
32,2,136,4.072484,4.069758,4.056493
32,2,137,6.136069,6.133286,6.112183
32,2,138,15.622686,15.618935,15.604976
32,2,139,25.585809,25.582324,25.567666
32,2,140,5.329813,5.326239,5.310467
32,2,141,4.839165,4.835976,4.824109
32,2,142,8.890731,8.887756,8.877035
32,2,143,22.070878,22.067600,22.050882
32,2,144,4.810789,4.807596,4.786427
32,2,145,11.297017,11.292952,11.279645
32,2,146,7.054461,7.051495,7.037454
32,2,147,8.460871,8.457719,8.440227
32,2,148,6.976006,6.970949,6.952897
32,2,149,10.659484,10.655534,10.637384
32,2,150,8.995688,8.992854,8.978101
32,2,151,20.808588,20.804868,20.790994
32,2,152,12.654728,12.651261,12.638693
32,2,153,8.676735,8.673502,8.660078
32,2,154,5.381367,5.378392,5.364502
32,2,155,9.063014,9.059842,9.040697
32,2,156,6.801402,6.798634,6.782302
32,2,157,4.606190,4.602962,4.590344
32,2,158,6.415125,6.412108,6.394999
32,2,159,7.523515,7.520290,7.504426
32,2,160,14.530874,14.527158,14.514107
32,2,161,16.024765,16.021455,16.002590
32,2,162,32.620784,32.617959,32.605875
32,2,163,21.762355,21.759002,21.744352
32,2,164,50.972681,50.969545,50.949008
32,2,165,8.878885,8.875320,8.854672
32,2,166,15.181160,15.178129,15.165677
32,2,167,9.296771,9.293563,9.275662
32,2,168,12.065436,12.061929,12.045671
32,2,169,19.761715,19.750481,19.730963
32,2,170,15.206521,15.203161,15.185267
32,2,171,13.742166,13.737907,13.721592
32,2,172,15.385523,15.381983,15.368624
32,2,173,10.309545,10.306601,10.291638
32,2,174,18.522703,18.519865,18.502844
32,2,175,12.070521,12.067224,12.052702
32,2,176,7.806839,7.803561,7.789772
32,2,177,13.522974,13.519473,13.499060
32,3,1,0.067785,0.063433,0.055422
32,3,2,0.068456,0.065365,0.053061
32,3,3,0.079182,0.076412,0.060176
32,3,4,0.780179,0.777568,0.760581
32,3,5,2.826591,2.823810,2.805643
32,3,6,1.093669,1.090871,1.075326
32,3,7,2.178378,2.175572,2.155997
32,3,8,0.338489,0.335911,0.327802
32,3,9,3.751549,3.748822,3.734162
32,3,10,0.633416,0.630609,0.609962
32,3,11,1.122824,1.120217,1.107579
32,3,12,1.416869,1.414093,1.397811
32,3,13,4.450327,4.447160,4.436725
32,3,14,3.868146,3.865396,3.845862
32,3,15,1.165193,1.162478,1.143176
32,3,16,1.203165,1.200558,1.190358
32,3,17,3.569288,3.566419,3.554063
32,3,18,0.290136,0.287242,0.278087
32,3,19,3.697848,3.695100,3.673845
32,3,20,0.261613,0.259048,0.243047
32,3,21,3.239163,3.236436,3.220000
32,3,22,0.705241,0.702673,0.687360
32,3,23,1.612558,1.609889,1.593801
32,3,24,1.381753,1.378809,1.368005
32,3,25,1.084531,1.081932,1.065288
32,3,26,1.342597,1.339666,1.327985
32,3,27,1.804648,1.802014,1.785530
32,3,28,3.937321,3.934545,3.921248
32,3,29,5.680621,5.677867,5.660349
32,3,30,3.485468,3.482739,3.465726
32,3,31,4.200465,4.194685,4.177480
32,3,32,4.011939,4.008977,3.987068
32,3,33,7.612121,7.609327,7.592581
32,3,34,3.640185,3.637230,3.625578
32,3,35,3.305506,3.302701,3.284464
32,3,36,1.726766,1.724051,1.705940
32,3,37,2.093061,2.090418,2.077146
32,3,38,1.613299,1.610592,1.592416
32,3,39,2.463751,2.460956,2.444828
32,3,40,3.662918,3.659671,3.643025
32,3,41,3.859225,3.856445,3.839666
32,3,42,0.938093,0.935317,0.924711
32,3,43,3.818232,3.815437,3.801595
32,3,44,7.341413,7.338453,7.325412
32,3,45,5.806542,5.803794,5.782312
32,3,46,3.176204,3.173450,3.162614
32,3,47,1.821924,1.819182,1.801092
32,3,48,1.083691,1.080946,1.070704
32,3,49,4.367291,4.364427,4.346701
32,3,50,1.389293,1.386670,1.372418
32,3,51,5.006125,5.003381,4.984416
32,3,52,6.054927,6.052141,6.037115
32,3,53,5.879597,5.875921,5.859005
32,3,54,1.762542,1.759545,1.745192
32,3,55,6.482674,6.479640,6.465328
32,3,56,9.924233,9.919228,9.905747
32,3,57,5.472132,5.468853,5.452393
32,3,58,5.223159,5.220335,5.199326
