year,county,precinct,method,voteD,voteR
2016,Flathead,19,absent,127,348
2016,Flathead,19,polls,96,397
2016,Flathead,20,absent,577,330
2016,Flathead,20,polls,341,361
2016,Flathead,21,absent,140,342
2016,Flathead,21,polls,81,309
2016,Flathead,23,absent,135,214
2016,Flathead,23,polls,157,298
2016,Flathead,24,absent,68,259
2016,Flathead,24,polls,50,303
2016,Flathead,25,absent,177,452
2016,Flathead,25,polls,89,339
2016,Flathead,26,absent,101,211
2016,Flathead,26,polls,50,243
2016,Flathead,29,absent,188,504
2016,Flathead,29,polls,149,545
2016,Flathead,31,absent,437,796
2016,Flathead,31,polls,190,629
2016,Flathead,32,absent,188,214
2016,Flathead,32,polls,132,237
2016,Flathead,33,absent,63,139
2016,Flathead,33,polls,29,120
2016,Flathead,34,absent,247,636
2016,Flathead,34,polls,123,418
2016,Flathead,35,absent,272,387
2016,Flathead,35,polls,175,420
2016,Flathead,36,absent,242,527
2016,Flathead,36,polls,138,636
2016,Flathead,37,absent,327,659
2016,Flathead,37,polls,174,561
2016,Flathead,38,absent,307,620
2016,Flathead,38,polls,201,550
2016,Flathead,39,absent,190,191
2016,Flathead,39,polls,91,191
2016,Flathead,41,absent,374,605
2016,Flathead,41,polls,146,342
2016,Flathead,42,absent,246,514
2016,Flathead,42,polls,124,558
2016,Flathead,43,absent,275,598
2016,Flathead,43,polls,177,597
2016,Flathead,44,absent,320,389
2016,Flathead,44,polls,171,430
2016,Flathead,45,absent,382,322
2016,Flathead,45,polls,207,314
2016,Flathead,47,absent,441,183
2016,Flathead,47,polls,261,245
2016,Flathead,48,absent,206,274
2016,Flathead,48,polls,111,262
2016,Flathead,49,absent,292,306
2016,Flathead,49,polls,139,260
2016,Flathead,50,absent,134,424
2016,Flathead,50,polls,91,378
2016,Flathead,89,absent,58,181
2016,Flathead,89,polls,38,193
2016,Lake,1,absent,148,102
2016,Lake,1,polls,272,183
2016,Lake,2,absent,119,135
2016,Lake,2,polls,101,179
2016,Lake,3,absent,25,35
2016,Lake,3,polls,21,47
2016,Lake,4,absent,89,146
2016,Lake,4,polls,116,242
2016,Lake,5,absent,102,202
2016,Lake,5,polls,50,144
2016,Lake,6,absent,132,209
2016,Lake,6,polls,101,234
2016,Lake,7,absent,170,322
2016,Lake,7,polls,132,159
2016,Lake,8,absent,250,327
2016,Lake,8,polls,93,222
2016,Lake,9,absent,161,166
2016,Lake,9,polls,78,86
2016,Lake,10,absent,255,304
2016,Lake,10,polls,227,230
2016,Lake,11,absent,389,464
2016,Lake,11,polls,221,304
2016,Lake,12,absent,27,90
2016,Lake,12,polls,34,80
2016,Lake,13,absent,108,150
2016,Lake,13,polls,82,134
2016,Lake,14,absent,6,12
2016,Lake,14,polls,4,6
2016,Lake,15,absent,352,471
2016,Lake,15,polls,324,465
2016,Lake,16,absent,300,308
2016,Lake,16,polls,334,324
2016,Lake,17,absent,139,165
2016,Lake,17,polls,154,163
2016,Lake,18,absent,154,128
2016,Lake,18,polls,200,166
2016,Lake,19,absent,14,51
2016,Lake,19,polls,4,19
2016,Lake,20,absent,25,45
2016,Lake,20,polls,8,38
2016,Park,1,absent,113,272
2016,Park,1,polls,105,343
2016,Park,2,absent,326,423
2016,Park,2,polls,118,325
2016,Park,3,absent,212,233
2016,Park,3,polls,128,352
2016,Park,4,absent,241,180
2016,Park,4,polls,191,234
2016,Park,5,absent,168,223
2016,Park,5,polls,106,228
2016,Park,6,absent,149,231
2016,Park,6,polls,118,214
2016,Park,7,absent,244,280
2016,Park,7,polls,134,239
2016,Park,8,absent,237,152
2016,Park,8,polls,161,157
2016,Park,9,absent,275,99
2016,Park,9,polls,207,118
2016,Park,10,absent,240,117
2016,Park,10,polls,151,125
2016,Park,11,absent,321,199
2016,Park,11,polls,164,164
2016,Sheridan,1,absent,26,62
2016,Sheridan,1,polls,14,61
2016,Sheridan,2,absent,91,143
2016,Sheridan,2,polls,34,106
2016,Sheridan,3,absent,78,145
2016,Sheridan,3,polls,37,95
2016,Sheridan,4,absent,89,182
2016,Sheridan,4,polls,56,163
2016,Sheridan,5,absent,33,84
2016,Sheridan,5,polls,9,73
2016,Sheridan,6,absent,48,90
2016,Sheridan,6,polls,20,52
2016,Stillwater,1,absent,232,810
2016,Stillwater,1,polls,263,770
2016,Stillwater,2,absent,108,371
2016,Stillwater,2,polls,185,430
2016,Stillwater,3,absent,21,76
2016,Stillwater,3,polls,26,65
2016,Stillwater,4,absent,3,40
2016,Stillwater,4,polls,3,23
2016,Stillwater,5,absent,9,78
2016,Stillwater,5,polls,19,57
2016,Stillwater,6,absent,21,42
2016,Stillwater,6,polls,30,48
2016,Stillwater,7,absent,33,83
2016,Stillwater,7,polls,23,54
2016,Stillwater,8,absent,100,314
2016,Stillwater,8,polls,124,297
2017,Flathead,1,absent,140,125
2017,Flathead,1,polls,46,76
2017,Flathead,2,absent,202,175
2017,Flathead,2,polls,83,86
2017,Flathead,3,absent,233,196
2017,Flathead,3,polls,96,104
2017,Flathead,4,absent,279,192
2017,Flathead,4,polls,87,120
2017,Flathead,5,absent,191,312
2017,Flathead,5,polls,89,175
2017,Flathead,6,absent,491,837
2017,Flathead,6,polls,120,349
2017,Flathead,7,absent,196,349
2017,Flathead,7,polls,60,140
2017,Flathead,8,absent,95,271
2017,Flathead,8,polls,41,163
2017,Flathead,11,absent,134,318
2017,Flathead,11,polls,84,249
2017,Flathead,13,absent,211,396
2017,Flathead,13,polls,128,294
2017,Flathead,14,absent,92,188
2017,Flathead,14,polls,41,136
2017,Flathead,15,absent,100,264
2017,Flathead,15,polls,74,195
2017,Flathead,16,absent,198,152
2017,Flathead,16,polls,148,129
2017,Flathead,17,absent,88,69
2017,Flathead,17,polls,51,25
2017,Flathead,18,absent,290,306
2017,Flathead,18,polls,142,274
2017,Flathead,19,absent,115,275
2017,Flathead,19,polls,60,217
2017,Flathead,20,absent,578,199
2017,Flathead,20,polls,328,152
2017,Flathead,21,absent,141,255
2017,Flathead,21,polls,60,175
2017,Flathead,23,absent,144,153
2017,Flathead,23,polls,140,167
2017,Flathead,24,absent,76,198
2017,Flathead,24,polls,38,187
2017,Flathead,25,absent,158,337
2017,Flathead,25,polls,69,150
2017,Flathead,26,absent,79,163
2017,Flathead,26,polls,35,157
2017,Flathead,29,absent,200,402
2017,Flathead,29,polls,120,327
2017,Flathead,31,absent,437,650
2017,Flathead,31,polls,153,286
2017,Flathead,32,absent,170,141
2017,Flathead,32,polls,106,109
2017,Flathead,33,absent,63,96
2017,Flathead,33,polls,24,61
2017,Flathead,34,absent,273,523
2017,Flathead,34,polls,74,254
2017,Flathead,35,absent,242,290
2017,Flathead,35,polls,112,234
2017,Flathead,36,absent,226,422
2017,Flathead,36,polls,109,358
2017,Flathead,37,absent,321,450
2017,Flathead,37,polls,107,239
2017,Flathead,38,absent,314,499
2017,Flathead,38,polls,153,337
2017,Flathead,39,absent,177,153
2017,Flathead,39,polls,82,109
2017,Flathead,41,absent,347,467
2017,Flathead,41,polls,94,205
2017,Flathead,42,absent,246,432
2017,Flathead,42,polls,99,336
2017,Flathead,43,absent,277,492
2017,Flathead,43,polls,110,349
2017,Flathead,44,absent,326,305
2017,Flathead,44,polls,159,207
2017,Flathead,45,absent,384,255
2017,Flathead,45,polls,171,157
2017,Flathead,47,absent,421,116
2017,Flathead,47,polls,246,100
2017,Flathead,48,absent,199,223
2017,Flathead,48,polls,99,138
2017,Flathead,49,absent,302,213
2017,Flathead,49,polls,142,162
2017,Flathead,50,absent,135,303
2017,Flathead,50,polls,62,187
2017,Flathead,89,absent,68,141
2017,Flathead,89,polls,29,124
2017,Lake,1,absent,132,80
2017,Lake,1,polls,221,107
2017,Lake,2,absent,106,109
2017,Lake,2,polls,81,116
2017,Lake,3,absent,15,34
2017,Lake,3,polls,26,30
2017,Lake,4,absent,83,114
2017,Lake,4,polls,95,141
2017,Lake,5,absent,97,157
2017,Lake,5,polls,37,96
2017,Lake,6,absent,112,184
2017,Lake,6,polls,96,159
2017,Lake,7,absent,134,278
2017,Lake,7,polls,88,83
2017,Lake,8,absent,209,285
2017,Lake,8,polls,88,133
2017,Lake,9,absent,152,127
2017,Lake,9,polls,58,47
2017,Lake,10,absent,210,231
2017,Lake,10,polls,154,130
2017,Lake,11,absent,298,398
2017,Lake,11,polls,169,182
2017,Lake,12,absent,27,68
2017,Lake,12,polls,18,44
2017,Lake,13,absent,76,119
2017,Lake,13,polls,55,82
2017,Lake,14,absent,7,6
2017,Lake,14,polls,4,5
2017,Lake,15,absent,296,333
2017,Lake,15,polls,241,298
2017,Lake,16,absent,197,225
2017,Lake,16,polls,236,207
2017,Lake,17,absent,132,138
2017,Lake,17,polls,120,93
2017,Lake,18,absent,122,96
2017,Lake,18,polls,147,93
2017,Lake,19,absent,12,46
2017,Lake,19,polls,4,13
2017,Lake,20,absent,27,49
2017,Lake,20,polls,2,25
2017,Park,1,absent,98,178
2017,Park,1,polls,85,242
2017,Park,2,absent,299,334
2017,Park,2,polls,113,203
2017,Park,3,absent,174,180
2017,Park,3,polls,106,268
2017,Park,4,absent,211,154
2017,Park,4,polls,165,124
2017,Park,5,absent,161,184
2017,Park,5,polls,85,147
2017,Park,6,absent,124,135
2017,Park,6,polls,84,114
2017,Park,7,absent,217,177
2017,Park,7,polls,116,158
2017,Park,8,absent,217,109
2017,Park,8,polls,106,70
2017,Park,9,absent,248,68
2017,Park,9,polls,183,67
2017,Park,10,absent,227,82
2017,Park,10,polls,142,57
2017,Park,11,absent,294,150
2017,Park,11,polls,132,90
2017,Sheridan,1,absent,29,41
2017,Sheridan,1,polls,8,33
2017,Sheridan,2,absent,87,91
2017,Sheridan,2,polls,29,42
2017,Sheridan,3,absent,75,100
2017,Sheridan,3,polls,26,32
2017,Sheridan,4,absent,83,110
2017,Sheridan,4,polls,43,76
2017,Sheridan,5,absent,29,64
2017,Sheridan,5,polls,8,28
2017,Sheridan,6,absent,56,55
2017,Sheridan,6,polls,9,19
2017,Stillwater,1,absent,188,569
2017,Stillwater,1,polls,171,507
2017,Stillwater,2,absent,157,355
2017,Stillwater,2,polls,67,193
2017,Stillwater,3,absent,18,43
2017,Stillwater,3,polls,16,53
2017,Stillwater,4,absent,3,17
2017,Stillwater,4,polls,4,29
2017,Stillwater,5,absent,15,48
2017,Stillwater,5,polls,3,54
2017,Stillwater,6,absent,33,29
2017,Stillwater,6,polls,13,28
2017,Stillwater,7,absent,17,36
2017,Stillwater,7,polls,24,60
2017,Stillwater,8,absent,108,200
2017,Stillwater,8,polls,77,208
