Type,m_dem_code,Measure,Transformation,value,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
D+ vs. D+,Generic,Spatial Distance,Absolute,0.7,0.7638405620829739,0.031403758509447925,0.6965089850731181,0.8185046093016782,0.7627505360336471,0.7622556784037574,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Absolute,0.9,0.8006645202805772,0.07067394870893288,0.6580726181097174,0.928644613924821,0.8064328868165298,0.8031456382853633,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Squared,-0.9,0.06786687894460325,0.0507481384418285,0,0.17355210708758487,0.058696403928412244,0.066516538961465893,0.856,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Squared,-0.7,0.2537145447802923,0.034383295890027574,0.1883310056489919,0.3217554101926593,0.25364957118426557,0.2538088441355996,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Squared,-0.5,0.28244571596880025,0.01946575880650664,0.24312194698080802,0.32184450080630544,0.28277030883390336,0.28268168563124724,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Squared,-0.3,0.31277507868180654,0.012432886059241042,0.28882223488929687,0.3378803991417271,0.3124042714836476,0.31245945287915955,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Squared,-0.1,0.4255938879021493,0.009418697482507595,0.40703521364276773,0.44408671087784485,0.4261081145084852,0.4258948895558258,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Squared,0.1,0.5744061120978506,0.0094186974825076,0.5559132891221552,0.5929647863572322,0.5738918854915149,0.5741051104441742,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Squared,0.3,0.6872249213181935,0.012432886059241043,0.6621196008582729,0.7111777651107031,0.6875957285163525,0.6875405471208405,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Squared,0.5,0.7175542840311997,0.019465758806506642,0.6781554991936946,0.756878053019192,0.7172296911660967,0.7173183143687528,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Squared,0.7,0.7462854552197076,0.03438329589002757,0.6782445898073406,0.8116689943510081,0.7463504288157344,0.7461911558644003,1,0,0,1000
D+ vs. D+,Generic,Spatial Distance,Squared,0.9,0.9321331210553968,0.0507481384418285,0.8264478929124152,1,0.9413035960715879,0.9334834610385341,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Absolute,-0.9,0.0834264294997546,0.050389273584804585,0,0.20062580518414688,0.07849583697785403,0.08502879836742802,0.964,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Absolute,-0.7,0.2529874367020567,0.0885528206830256,0.0721990841087265,0.4214201705494828,0.2528933271299828,0.2513550655197372,0.998,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Absolute,-0.5,0.1193490063539572,0.0383322132454859,0.05443418685855169,0.20122352804857602,0.11658297727555325,0.11941354746397273,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Absolute,-0.3,0.2561926187552943,0.04231426291831028,0.1779653277588256,0.3423691994225919,0.2550541373394538,0.2557692613347933,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Absolute,-0.1,0.3643979095613937,0.027777235328973058,0.3099884980126861,0.4206773658292201,0.3642626994979275,0.3643255408679226,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Absolute,0.1,0.4089084944114527,0.029779605952981982,0.350082336119281,0.4676521853959416,0.4091894450386826,0.4097565966209862,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Absolute,0.3,0.5345333352394173,0.05344108844376802,0.4298835153370092,0.6400182749921135,0.5341066629135395,0.5334235408889878,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Absolute,0.5,0.5504858405740426,0.06018371830790891,0.43065313546707973,0.662050352133071,0.5504953228750502,0.5487069032184926,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Absolute,0.7,0.809213664534065,0.07779416966242851,0.6432112819369883,0.9469757032861686,0.8162163739098558,0.8096458623821517,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Absolute,0.9,0.8467696521556595,0.06993002055486433,0.6984875626608837,0.9697213081017955,0.8520314106282392,0.8477661842320501,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Squared,-0.9,0.029224918106895408,0.030869470056405335,0,0.10748213877179263,0.026962698888473302,0.02936698259388313,0.618,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Squared,-0.7,0.2373789250259619,0.07326350495958352,0.08972516024519178,0.3815727163414017,0.23524190883958418,0.23574242739548748,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Squared,-0.5,0.12514226752762117,0.04871758148505835,0.04042894984020395,0.2314603493430855,0.12248538762313044,0.12573719500023967,0.999,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Squared,-0.3,0.2537191365467922,0.042792464856483595,0.1735738278647687,0.3392961668245688,0.25299613957113015,0.2528559688193096,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Squared,-0.1,0.36391655215889895,0.0274079825091008,0.3087393878516432,0.4196922546794814,0.36444705070478656,0.3638655235553276,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Squared,0.1,0.41050380983786927,0.028782373437543116,0.35566938800746245,0.46655413280539715,0.4108199748750929,0.41077260610725946,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Squared,0.3,0.5460879924369086,0.052945774417636975,0.4458165914356069,0.659414033895337,0.5450839980568518,0.5466041239293945,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Squared,0.5,0.5175972930926236,0.07560058739430871,0.37330831424125427,0.6643070960613778,0.5198748789609733,0.5176548195334095,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Squared,0.7,0.7405402144684351,0.06992767259249849,0.5901124429829185,0.8709129327475723,0.7380883771582933,0.7380840925416792,1,0,0,1000
D- vs. D+,u_banProtest,Party/Policy Bundle,Squared,0.9,0.8394634318188703,0.06612862116346932,0.6957669129379969,0.9544939764168594,0.8428445702207141,0.8389390588539485,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Absolute,-0.9,0.16433320412898528,0.07442796621138774,0.028467623652830547,0.3182863393585555,0.16218345953316443,0.16333078338172588,0.983,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Absolute,-0.7,0.1549384688278498,0.04535994514463849,0.07110720450237094,0.2513712589136424,0.15501427104833537,0.15584055588364412,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Absolute,-0.5,0.2689970186910393,0.04625382905154199,0.1797722821328962,0.36142925697564243,0.2676426383882471,0.2674683514110835,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Absolute,-0.3,0.25671338872952604,0.03366032479997977,0.19543113689157357,0.3254277718103419,0.2556289775577195,0.25680806742458423,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Absolute,-0.1,0.353833922477188,0.025676770807164337,0.30295748305446923,0.4043680811816367,0.35403169896843867,0.35396344226094784,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Absolute,0.1,0.39300809154789695,0.026940652837303805,0.33715248514731366,0.44532361282160643,0.3941632278602114,0.3940260373228631,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Absolute,0.3,0.5078243008016322,0.038585577533819734,0.4305369826287821,0.5850566477517171,0.5078022436582377,0.5076305338440574,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Absolute,0.5,0.5995571937266597,0.047742245422268244,0.5019170984041305,0.6910340669873529,0.5987835819720495,0.5987279612811055,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Absolute,0.7,0.695306072206689,0.05889273519012262,0.5738938236515485,0.8048678155808083,0.6956462852652181,0.6943709803871209,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Absolute,0.9,0.7572190223282117,0.08092731651267374,0.5925472676253176,0.897281086554562,0.755607138849288,0.754413247839118,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Squared,-0.9,0.25554982959799333,0.09506927481185891,0.07321734683092698,0.4470937904422603,0.24918690413903663,0.251677869508988,0.995,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Squared,-0.7,0.18095844141139353,0.056391983607689995,0.07808093153405272,0.2978679494755253,0.18050034103550955,0.18170633434604702,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Squared,-0.5,0.26897000373901764,0.0359231496005093,0.19858320983695785,0.34012662105938885,0.26545514250648905,0.267610623903548,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Squared,-0.3,0.27151334125899396,0.030217174067419236,0.21426851104817515,0.33222838960991424,0.27262583137903657,0.2726776379304412,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Squared,-0.1,0.36782551365459193,0.03096183057387769,0.30745956667095653,0.4273628537776006,0.36814062071575915,0.36792456403149215,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Squared,0.1,0.3755014190914787,0.0318524459648544,0.31265780734641674,0.43821894153825025,0.3770207201678103,0.37622651163457893,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Squared,0.3,0.46874346558649876,0.03508036998834553,0.39808588909133125,0.536741458380449,0.46994757303452994,0.46954325703433797,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Squared,0.5,0.5821001890130219,0.04012358325759271,0.4982962988860648,0.6531549604187202,0.5830590989580484,0.5815877116240803,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Squared,0.7,0.724743570574675,0.05412378009137352,0.6117399248203669,0.8279496146009152,0.7239142891019945,0.7234704726460393,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rank,Squared,0.9,0.658133973155796,0.10873013457158136,0.43582571381759916,0.8617228718642382,0.6552921237532083,0.6542781018618142,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Absolute,-0.9,0.1783977160864253,0.10916645655713575,0,0.4019264492886198,0.17012770953952724,0.1750823896380724,0.876,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Absolute,-0.7,0.11880831521710289,0.057572415731201074,0.03126459704686284,0.25057037506568824,0.11645093968763122,0.12228674535183855,0.997,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Absolute,-0.5,0.15076196889841187,0.032647064770721344,0.08856104991193768,0.21686586309612663,0.1474441849335087,0.14917306989974893,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Absolute,-0.3,0.23189877489021346,0.034943481866862476,0.16181447925690706,0.30171731009484115,0.23198676877145924,0.23263594963303444,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Absolute,-0.1,0.35565977151498135,0.024663560179052583,0.3083936761106149,0.4080078135255229,0.35505035713081434,0.35563797560297433,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Absolute,0.1,0.4181892295137645,0.025781802008139093,0.3680041453021211,0.46973583248322853,0.42026194176161624,0.4195128853631126,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Absolute,0.3,0.5434904374209952,0.040782154658739814,0.45936505948819456,0.6188228064299293,0.5440975991387127,0.5425107296752352,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Absolute,0.5,0.6716754662832521,0.043900495423989924,0.5798818439927987,0.7517528625989887,0.6720637732843101,0.6708781946933844,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Absolute,0.7,0.8325038483155079,0.0764231023528929,0.6548002502251689,0.9664736235089869,0.8386446948821495,0.8336608826182582,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Absolute,0.9,0.8954585834857729,0.1051619987517568,0.6474580886493521,1,0.9046347123921711,0.8959976742803514,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Squared,-0.9,0.1883775496317637,0.11549622305528702,0,0.4275065638675231,0.17957008628701843,0.18497370121980533,0.876,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Squared,-0.7,0.16810906404032444,0.07085261006492785,0.054453355827165366,0.32620771691811745,0.16525211226812994,0.17195376316351865,0.998,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Squared,-0.5,0.1384013303303938,0.03238634834791486,0.077494999680426,0.2036240170651502,0.13612701250693102,0.1366833288039149,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Squared,-0.3,0.25302553132484545,0.03803513966473062,0.18156631905862558,0.3348692414435084,0.25309619798743827,0.2543447886746238,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Squared,-0.1,0.36976903481611706,0.024216391262120246,0.3211375702809904,0.4194039336785827,0.3685984251888159,0.369384812871825,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Squared,0.1,0.4094131049031239,0.025963897921565237,0.3611782105082979,0.4624186412893668,0.41111195676205226,0.41103847673729577,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Squared,0.3,0.5451255472467597,0.044429641189305015,0.4526280734231285,0.6244965100753989,0.5434931216717196,0.5419332276271209,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Squared,0.5,0.6547845672376488,0.04333405355805269,0.5679893655564685,0.7321954690035968,0.657924276316278,0.65511042288762,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Squared,0.7,0.8425773585265589,0.08921680494503074,0.6479321413480605,1,0.8512314575486067,0.8445207660142716,1,0,0,1000
D- vs. D+,u_banProtest,Policy Rating,Squared,0.9,0.9091845062977955,0.10333825961114386,0.647544623684801,1,0.9216444653997313,0.9061781273863099,1,0,0,1000
D- vs. D+,u_banProtest,Spatial Distance,Absolute,-0.9,0.31034866047329074,0.19387035172626071,0,0.6947345674163763,0.28810735115072994,0.30696792639432247,0.884,0,0,1000
D- vs. D+,u_banProtest,Spatial Distance,Absolute,-0.7,0.1327013819789289,0.05930055377405888,0.02554208902567089,0.25685716664360386,0.1289201711062784,0.13263178594956126,0.991,0,0,1000
D- vs. D+,u_banProtest,Spatial Distance,Absolute,-0.5,0.31027585728466434,0.06084001767557735,0.20390700983865334,0.43342153529063965,0.3116749617461625,0.31323688434551045,1,0,0,1000
D- vs. D+,u_banProtest,Spatial Distance,Absolute,-0.3,0.2504546995819309,0.036517142504994,0.18297274201317168,0.3231782125477082,0.24865657071654618,0.2501420960112618,1,0,0,1000
D- vs. D+,u_banProtest,Spatial Distance,Absolute,-0.1,0.36528802139615846,0.02362497155000479,0.32101483554937105,0.4127909191599644,0.3654358613083677,0.3656430226496917,1,0,0,1000
D- vs. D+,u_banProtest,Spatial Distance,Absolute,0.1,0.3904566327340387,0.022491857223911012,0.3467516438120958,0.4340664212384704,0.39085945962065016,0.389882676776116,1,0,0,1000
D- vs. D+,u_banProtest,Spatial Distance,Absolute,0.3,0.563538711749464,0.03991710329336327,0.4799418785903468,0.6394855913810013,0.5667054148553905,0.5640650961482195,1,0,0,1000
