Type,Measure,Transformation,value,Stat,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim,estimate_reg,std.error,statistic,p.value,conf.low,conf.high,df,outcome
D+ vs. D+,Policy Rating,Squared,0.7,Mean,0.8607879651971979,0.027934146461087276,0.800228343635717,0.9110680728976318,0.8614993250730514,0.8600898376596059,1,0,0,1000,0.8607879651971978,0.02788398235847079,30.870338179499733,2.1939000783374265e-43,0.805206584839807,0.9163693455545886,72.32924229081577,c_win
D+ vs. D+,Policy Rating,Squared,0.9,Mean,0.8698818158548678,0.03272719791716062,0.8026346927726679,0.9286034375029862,0.8719669242541255,0.8700728874757473,1,0,0,1000,0.8698818158548682,0.03245426235915497,26.803314961477927,1.7797764408399091e-31,0.8047075867288038,0.9350560449809326,50.37670503120929,c_win
D+ vs. D+,Spatial Distance,Absolute,-0.9,Mean,0.19933547971942267,0.07067394870893288,0.071355386075179,0.34192738189028254,0.19356711318347025,0.19685436171463672,1,0,0,1000,0.19933547971942273,0.07052300531343354,2.8265312692431785,0.009722534203256146,0.05322553569274674,0.3454454237460987,22.385297319564913,c_win
D+ vs. D+,Spatial Distance,Absolute,-0.7,Mean,0.23615943791702615,0.03140375850944793,0.18149539069832182,0.303491014926882,0.23724946396635305,0.2377443215962426,1,0,0,1000,0.23615943791702623,0.03230157688740137,7.311080779128644,5.0285240071446524e-11,0.17212613449856373,0.30019274133548873,107.1178200451,c_win
D+ vs. D+,Spatial Distance,Absolute,-0.5,Mean,0.2963426892395749,0.020389288405532197,0.258604423542977,0.3359995529070553,0.2971115646106141,0.2971733725773024,1,0,0,1000,0.29634268923957424,0.019965364370925623,14.842839015305954,8.756870999459248e-36,0.2570126676760947,0.3356727108030538,239.64230217881473,c_win
D+ vs. D+,Spatial Distance,Absolute,-0.3,Mean,0.34996076500462964,0.013912460223964184,0.32421785867778724,0.37785773097446174,0.3500653653751889,0.35017342493069287,1,0,0,1000,0.349960765004629,0.013587264138836479,25.75652916059357,2.1228342953907027e-89,0.3232555992358534,0.37666593077340466,433.1616053009611,c_win
D+ vs. D+,Spatial Distance,Absolute,-0.1,Mean,0.467397806500121,0.008748653063839235,0.44994740977234465,0.4832273715562989,0.46733476317745937,0.4673588321593951,1,0,0,1000,0.46739780650012075,0.008861112184405781,52.74708149194525,4.400213462622643e-241,0.4499990092229958,0.4847966037772457,672.0025383765217,c_win
D+ vs. D+,Spatial Distance,Absolute,0.1,Mean,0.5326021934998788,0.008748653063839238,0.5167726284437011,0.5500525902276554,0.5326652368225406,0.5326411678406049,1,0,0,1000,0.5326021934998799,0.008861112184405783,60.10556941567439,1.570273447309081e-272,0.5152033962227549,0.5500009907770049,672.0025383765217,c_win
D+ vs. D+,Spatial Distance,Absolute,0.3,Mean,0.6500392349953703,0.013912460223964184,0.6221422690255383,0.6757821413222127,0.6499346346248112,0.6498265750693072,1,0,0,1000,0.6500392349953652,0.013587264138836486,47.84180452762066,5.467063642123272e-175,0.6233340692265895,0.6767444007641409,433.1616053009611,c_win
D+ vs. D+,Spatial Distance,Absolute,0.5,Mean,0.703657310760425,0.020389288405532197,0.6640004470929448,0.741395576457023,0.7028884353893858,0.7028266274226975,1,0,0,1000,0.7036573107604239,0.019965364370925612,35.243900270867016,8.809029421656857e-97,0.6643272891969444,0.7429873323239035,239.64230217881473,c_win
D+ vs. D+,Spatial Distance,Absolute,0.7,Mean,0.7638405620829739,0.031403758509447925,0.6965089850731181,0.8185046093016782,0.7627505360336471,0.7622556784037574,1,0,0,1000,0.7638405620829732,0.03230157688740138,23.647160160186942,2.5561645269735957e-44,0.6998072586645108,0.8278738655014357,107.1178200451,c_win
D+ vs. D+,Spatial Distance,Absolute,0.9,Mean,0.8006645202805772,0.07067394870893288,0.6580726181097174,0.928644613924821,0.8064328868165298,0.8031456382853633,1,0,0,1000,0.8006645202805772,0.07052300531343354,11.353238800900378,9.245433233924064e-11,0.6545545762539012,0.9467744643072532,22.385297319564913,c_win
D+ vs. D+,Spatial Distance,Squared,-0.9,Mean,0.06786687894460325,0.0507481384418285,0,0.17355210708758487,0.058696403928412244,0.066516538961465893,0.856,0,0,1000,0.06786687894460325,0.05083863251389438,1.3349469800560625,0.20240753052743152,-0.0407861636879773,0.1765199215771838,14.5493464464369,c_win
D+ vs. D+,Spatial Distance,Squared,-0.7,Mean,0.2537145447802923,0.034383295890027574,0.1883310056489919,0.3217554101926593,0.25364957118426557,0.2538088441355996,1,0,0,1000,0.25371454478029243,0.0339245752999219,7.478783228301064,3.745445245235157e-11,0.18636417992627988,0.321064909634305,94.82886447165947,c_win
D+ vs. D+,Spatial Distance,Squared,-0.5,Mean,0.28244571596880025,0.01946575880650664,0.24312194698080802,0.32184450080630544,0.28277030883390336,0.28268168563124724,1,0,0,1000,0.28244571596880014,0.01950319853158295,14.482020244598095,1.7502226190112274e-34,0.24402419139729187,0.3208672405403084,237.2946075425806,c_win
