variable,value,term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
hhi_cut,"[25,50)",diff_dem_type_u,-0.11895294333893104,0.014493116467780459,-0.1472784457439085,-0.08883900580099402,-0.11904239971451934,-0.11904632722038797,0,1,0,1000
hhi_cut,"[25,50)",diff_dem_type_v,-0.1650661004845866,0.019254212676186336,-0.20272885871448568,-0.12840199805256017,-0.16424288922197836,-0.16467628519245037,0,1,0,1000
hhi_cut,"[50,75)",(Intercept),0.5000000000000053,0.015148848776850384,0.4706387629930267,0.5282649708722135,0.5000355006283306,0.4998975260753265,1,0,0,1000
hhi_cut,"[50,75)",diff_dem_type_u,-0.12528365050650572,0.019843174120870926,-0.16650251462713286,-0.08740672823561611,-0.12433950254351339,-0.12484026558244096,0,1,0,1000
hhi_cut,"[50,75)",diff_dem_type_v,-0.16926473645961282,0.025439813913187382,-0.21736547239245554,-0.11859908195235869,-0.17003668693861917,-0.1694150738355295,0,1,0,1000
hhi_cut,"[75,100)",(Intercept),0.5000000000000004,0.02280304662062655,0.45395746515629315,0.5439086118501371,0.5000533195356163,0.5001258021696074,1,0,0,1000
hhi_cut,"[75,100)",diff_dem_type_u,-0.0885884377708429,0.028254115360932065,-0.14189446749706935,-0.03320152019810237,-0.08790481746847348,-0.08824262947892308,0.002,0.998,0,1000
hhi_cut,"[75,100)",diff_dem_type_v,-0.20732246864096993,0.03713497017438884,-0.27467513033264307,-0.13378995585067116,-0.20802778862076177,-0.20707556769354837,0,1,0,1000
age_cut,"(34,49]",(Intercept),0.5000000000000003,0.015079649764566322,0.47087489032174656,0.5289719443119085,0.4991302890166128,0.499542263686034,1,0,0,1000
age_cut,"(34,49]",diff_dem_type_u,-0.09344184577794809,0.01927255120821694,-0.1305763743745901,-0.05477422720723747,-0.09244532733455545,-0.09243213056223779,0,1,0,1000
age_cut,"(34,49]",diff_dem_type_v,-0.13473897431045853,0.025576953049132795,-0.187558622258181,-0.08303263791321384,-0.13346814631839443,-0.1334489278048305,0,1,0,1000
age_cut,"(49,64]",(Intercept),0.5000000000000074,0.011912831869411894,0.476721320504255,0.5230262581721379,0.5000982878510305,0.5001249933616841,1,0,0,1000
age_cut,"(49,64]",diff_dem_type_u,-0.1262704739412623,0.015966501406181267,-0.15729942333483113,-0.09726774346594172,-0.12642071121322274,-0.12661747876284205,0,1,0,1000
age_cut,"(49,64]",diff_dem_type_v,-0.19903607791392441,0.019833448493739116,-0.23809777730155757,-0.158210593287892,-0.2000347337754304,-0.19950806906172452,0,1,0,1000
age_cut,"(64,96]",(Intercept),0.4999999999999926,0.014016177318659614,0.47192331027310824,0.5260219475182469,0.499502856391139,0.4993619478860971,1,0,0,1000
age_cut,"(64,96]",diff_dem_type_u,-0.16191598609119692,0.017646382233655437,-0.19672280936202616,-0.12909327237527932,-0.16102788607263713,-0.16138528782591197,0,1,0,1000
age_cut,"(64,96]",diff_dem_type_v,-0.23536373009500694,0.023705510383346146,-0.28256869870893303,-0.18701298571519412,-0.23553453627525073,-0.23548358098316216,0,1,0,1000
age_cut,"[18,34]",(Intercept),0.49999999999998507,0.014318529346729355,0.4710059530532084,0.5271236552975012,0.500631280181934,0.5000072483935039,1,0,0,1000
age_cut,"[18,34]",diff_dem_type_u,-0.09185030293192538,0.017594984341451347,-0.12609559408878124,-0.056416948303612185,-0.09145717703971212,-0.09154290084724828,0,1,0,1000
age_cut,"[18,34]",diff_dem_type_v,-0.18072185798145204,0.023958463383595203,-0.22821878391509726,-0.13415262413510512,-0.18046221660898146,-0.17998207549720582,0,1,0,1000
knowl_anes_total,0,(Intercept),0.49999999999999983,0.04988550279003117,0.403617218424956,0.6002202998173912,0.5010801556723871,0.5003964299420217,1,0,0,1000
knowl_anes_total,0,diff_dem_type_u,0.013245864766067731,0.05734855314091819,-0.10076424539070003,0.12408464108042014,0.012348649736319238,0.014382934317051675,0.599,0.401,0,1000
knowl_anes_total,0,diff_dem_type_v,-0.06458269335764212,0.09109241690822086,-0.22982299572990328,0.121839348260578,-0.0648793186820037,-0.06140488342237445,0.253,0.747,0,1000
knowl_anes_total,1,(Intercept),0.5000000000000019,0.03614159532921921,0.4330759590074473,0.5762909555971824,0.5009772738348859,0.5011098762988999,1,0,0,1000
