"","V1","V2"
"824",13732254,9
"825",13733169,6
"826",13735021,10
"827",13736076,8
"828",13736091,7
"829",13737232,2
"830",13737306,17
"831",13737480,2
"832",13738452,9
"833",13744964,5
"834",13750104,5
"835",13751323,10
"836",13755089,33
"837",13756423,20
"838",13757865,8
"839",13757959,1
"840",13760449,2
"841",13760716,8
"842",13761008,0
"843",13763156,5
"844",13764146,6
"845",13767014,10
"846",13767512,2
"847",13767668,22
"848",13768090,14
"849",13768483,21
"850",13776792,41
"851",13778450,9
"852",13781445,8
"853",13782284,6
"854",13784341,16
"855",13790023,10
"856",13790248,3
"857",13790435,4
"858",13792456,5
"859",13797879,15
"860",13799327,2
"861",13806713,7
"862",13809582,7
"863",13811022,4
"864",13813889,5
"865",13814476,12
"866",13818023,0
"867",13819606,1
"868",13820081,5
"869",13822738,1
"870",13826643,1
"871",13826657,11
"872",13827813,11
"873",13828674,7
"874",13830973,2
"875",13839076,18
"876",13843266,11
"877",13843471,7
"878",13843755,10
"879",13844244,15
"880",13844817,5
"881",13847191,4
"882",13847669,11
"883",13847740,3
"884",13848446,12
"885",13850194,9
"886",13851267,10
"887",13853180,9
"888",13854648,15
"889",13855970,5
"890",13856014,10
"891",13858225,1
"892",13859414,9
"893",13859769,7
"894",13862959,9
"895",13863062,4
"896",13864565,4
"897",13866067,2
"898",13866218,15
"899",13868392,25
"900",13868833,69
"901",13870557,5
"902",13871243,4
"903",13872222,9
"904",13872835,3
"905",13875294,7
"906",13877313,5
"907",13879746,5
"908",13881394,13
"909",13882451,14
"910",13882930,1
"911",13883466,7
"912",13883975,2
"913",13885226,1
"914",13887279,13
"915",13887484,5
"916",13888044,4
"917",13888217,1
"918",13890771,5
"919",13891510,5
"920",13892485,1
"921",13892658,8
"922",13893434,7
"923",13895769,5
"924",13896419,7
"925",13898983,6
"926",13899934,19
"927",13899982,8
"928",13900047,9
"929",13904135,4
"930",13904163,1
"931",13905360,3
"932",13912153,6
"933",13915109,50
"934",13915990,3
"935",13916166,2
"936",13917554,3
"937",13917703,4
"938",13920563,12
"939",13920920,20
"940",13926915,15
"941",1377400,6
"942",1377795,10
"943",1378059,7
"944",1379129,3
"945",1379668,9
"946",1380394,1
"947",1381668,0
