r_id,r_gender,r_age,r_educ,r_income,r_party,r_strength,r_lean,condition,profile,cage,cparty,chealthcare,cmarriage,pref,rate,partisan,cpartyp,cmarriagep,chealthcarep,cagep,cvacationm,crelativem,chighwaym,cschoolm,cmaritalm,cdogm,cweddingm,cicecreamm,celectionm,cvotem,ctripm,cstonem,cclassm,cdinosaurm,creportm,cdaybornm,cfavcolorm,cyearbornm,cnamem,cfoodm,cbirthdaym,cclassroomm,cbaseballm,cbeveragem,cseasonm,ctreem,ccomposerm,caddressm,cdoorm,ccarcolorm,cteamm,cemailm,cshopm,cwarm,cgrandm,wave
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,J1,3,2,2,2,0,1,1,1,1,1,3,2,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,J2,2,1,2,2,1,2,1,2,1,1,2,4,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,K1,1,1,2,1,1,5,1,2,2,1,1,3,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,K2,2,1,2,2,0,1,1,2,1,1,2,4,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,L1,2,1,2,1,0,4,1,2,2,1,2,1,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,L2,1,1,1,1,1,6,1,2,2,2,1,1,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,M1,3,2,1,1,0,3,1,1,2,2,3,1,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,M2,3,1,1,1,1,6,1,2,2,2,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,N1,3,1,1,2,1,2,1,2,1,2,3,4,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,N2,3,2,1,2,0,1,1,1,1,2,3,1,4,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
