"r_id","r_gender","r_age","r_educ","r_income","r_party","r_strength","r_lean","profile","access","balcony","bar","boats","call","cars","cfloor","cfurniture","channels","chocolate","cinternet","closet","coffee","color","cview","decor","door","elevators","fan","flooring","food","hallway","hours","kitchen","lamps","lights","linens","menu","office","parking","pillows","scent","service","shower","sinks","size","theme","thermo","towels","tv","valet","windows"
"R_1q54rq2G91bQItj",1,44,5,1,3,NA,-1,1,1,1,3,2,1,1,3,1,2,4,2,1,1,3,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,3,3,1,4,2,1,2,3,2,1,2,1,2
"R_1q54rq2G91bQItj",1,44,5,1,3,NA,-1,2,1,1,3,1,1,1,1,2,2,4,1,1,1,4,2,2,2,1,2,1,1,2,1,2,3,2,1,1,2,3,3,3,4,2,1,1,2,2,1,2,1,2
"R_1q54rq2G91bQItj",1,44,5,1,3,NA,-1,3,1,1,3,1,1,1,3,1,2,4,1,1,1,4,2,2,2,2,2,1,1,2,1,2,3,2,1,1,1,3,3,1,4,2,1,2,3,2,1,2,1,2
"R_1q7ZBivVkCV3WVr",1,31,5,3,1,0,NA,1,3,1,3,2,1,1,3,1,3,4,1,1,1,1,1,1,2,2,2,3,1,2,3,2,2,1,1,2,1,1,2,1,2,3,1,2,2,2,1,1,1,2
"R_1q7ZBivVkCV3WVr",1,31,5,3,1,0,NA,2,3,1,3,2,1,2,2,1,1,4,1,1,1,3,1,1,3,1,1,1,4,1,3,1,3,2,1,1,2,1,3,1,4,2,1,2,1,1,1,1,1,1
"R_1q7ZBivVkCV3WVr",1,31,5,3,1,0,NA,3,2,1,3,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,1,3,1,1,1,2,1,3,2,3,4,2,1,3,1,1,1,2,1
"R_1q80TFWejjKZFXK",2,24,6,2,2,0,NA,1,1,2,3,2,2,3,1,2,1,4,2,1,1,3,1,1,1,2,1,1,1,3,1,2,2,2,1,2,2,3,3,2,3,2,2,1,1,1,1,1,1,2
"R_1q80TFWejjKZFXK",2,24,6,2,2,0,NA,2,2,1,3,1,2,3,3,2,1,3,2,2,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1,2,3,3,3,4,1,2,1,1,1,2,2,2,2
"R_1q80TFWejjKZFXK",2,24,6,2,2,0,NA,3,1,2,1,2,2,3,1,2,1,4,1,1,1,1,1,1,2,1,1,1,1,3,2,3,2,2,1,2,1,2,1,2,4,1,1,1,3,1,2,2,2,2
"R_1q87xA6P2F5dDED",1,37,5,5,1,0,NA,1,2,2,3,1,2,3,2,1,1,1,1,1,1,4,2,2,1,1,2,3,4,2,3,1,2,2,2,1,2,1,3,1,4,1,2,2,3,3,1,2,1,1
"R_1q87xA6P2F5dDED",1,37,5,5,1,0,NA,2,2,2,3,2,2,3,1,1,1,1,2,1,2,3,1,2,2,1,1,2,1,2,2,1,2,2,2,1,1,2,4,3,4,1,1,2,3,3,1,2,1,1
"R_1q87xA6P2F5dDED",1,37,5,5,1,0,NA,3,3,1,3,1,2,2,2,1,3,2,2,1,2,3,2,2,2,1,1,2,4,1,3,2,2,1,1,2,2,1,2,1,1,2,1,2,2,3,1,1,1,1
"R_1q96KRg5gDPtCHD",2,33,6,6,2,0,NA,1,2,1,3,2,1,3,2,2,1,4,1,2,1,3,1,1,1,1,2,1,1,1,2,2,3,2,2,1,2,3,2,1,3,2,1,1,3,2,2,1,1,1
"R_1q96KRg5gDPtCHD",2,33,6,6,2,0,NA,2,1,1,3,1,1,3,1,1,1,1,2,2,1,4,2,1,1,1,2,1,1,3,1,2,2,2,3,2,2,2,1,1,4,2,2,2,3,1,1,2,1,1
"R_1q96KRg5gDPtCHD",2,33,6,6,2,0,NA,3,3,2,3,2,1,1,1,1,2,4,2,2,2,1,1,2,1,1,2,1,1,3,2,2,3,1,1,1,2,3,1,1,4,1,1,2,2,2,2,2,2,2
"R_1q9W9aZRh5NiP00",1,34,6,3,3,NA,-1,1,1,1,3,2,2,1,2,1,1,4,2,1,3,4,1,2,1,1,1,1,1,1,3,2,3,2,1,2,1,2,2,1,4,1,2,2,3,3,1,2,2,1
"R_1q9W9aZRh5NiP00",1,34,6,3,3,NA,-1,2,1,2,2,1,1,1,2,1,1,4,1,1,3,4,2,1,3,2,2,2,1,3,1,3,2,2,3,2,2,3,1,1,3,2,2,2,1,1,3,1,2,1
"R_1q9W9aZRh5NiP00",1,34,6,3,3,NA,-1,3,3,1,2,1,1,2,2,1,1,4,1,1,1,4,2,1,3,2,2,2,1,1,2,2,2,2,3,1,2,1,2,1,3,3,2,2,1,1,3,1,1,1
"R_1QA5ZiK85YJaUMM",2,24,2,4,2,1,NA,1,2,1,3,1,2,1,1,2,3,4,1,1,2,4,2,2,3,2,1,1,1,1,3,2,2,2,1,1,2,2,4,3,3,3,2,1,3,2,1,2,1,1
"R_1QA5ZiK85YJaUMM",2,24,2,4,2,1,NA,2,3,1,3,2,2,1,1,2,3,2,1,1,1,3,1,2,3,1,1,2,4,3,3,2,2,2,1,1,2,3,3,2,4,3,2,1,1,1,1,2,1,1
"R_1QA5ZiK85YJaUMM",2,24,2,4,2,1,NA,3,3,1,3,1,2,1,2,2,3,4,1,1,1,1,2,1,1,1,1,3,1,2,3,2,2,2,1,1,2,3,3,3,4,3,2,1,3,3,1,2,1,1
"R_1qaplRLfC66830W",1,46,5,1,2,0,NA,1,1,1,3,2,1,2,3,1,1,1,1,1,3,4,1,1,2,2,1,1,1,1,1,3,3,2,1,1,2,2,3,1,4,1,2,2,3,2,1,2,2,2
"R_1qaplRLfC66830W",1,46,5,1,2,0,NA,2,1,1,3,1,1,2,1,2,1,1,1,1,3,4,2,1,2,2,1,1,1,3,2,3,2,2,3,1,2,3,3,3,4,1,2,1,3,1,1,1,2,1
"R_1qaplRLfC66830W",1,46,5,1,2,0,NA,3,1,2,3,2,1,2,1,2,1,1,1,1,3,2,1,1,2,1,2,1,1,3,2,3,1,2,3,1,2,3,3,1,4,1,2,2,3,4,1,1,2,2
"R_1QAs8sBf40N1x9y",2,27,3,2,1,1,NA,1,1,1,3,1,2,2,1,2,3,4,2,1,2,4,2,2,1,1,1,1,4,1,1,2,2,2,3,2,2,3,3,1,4,3,2,1,3,2,1,2,2,1
"R_1QAs8sBf40N1x9y",2,27,3,2,1,1,NA,2,3,2,3,2,1,1,3,2,1,1,2,1,1,3,1,2,2,2,1,2,1,2,1,2,2,2,3,1,1,2,2,3,4,1,2,2,2,3,2,1,2,2
"R_1QAs8sBf40N1x9y",2,27,3,2,1,1,NA,3,3,1,3,2,1,2,2,2,2,2,2,1,3,2,1,2,1,2,2,2,1,3,1,1,2,2,3,2,2,2,2,1,4,1,2,3,3,3,1,2,2,2
"R_1QcofOqjGhL2JPa",1,38,6,4,2,0,NA,1,2,2,1,2,2,2,3,1,2,4,1,2,2,1,1,2,3,1,2,2,4,1,2,1,3,2,1,1,1,3,4,1,4,1,2,2,1,3,2,2,1,2
