choice_set,item,n_choices,n_chosen,cp,n_weeks_offered
"[0,1,2,4,6,7,8,13,16,22,28,29,30]",6,14688,80,0.00544662309368192,28
"[0,1,2,4,6,7,8,13,16,22,28,29,30]",7,14688,1169,0.079588779956427,28
"[0,1,2,4,6,7,8,13,16,22,28,29,30]",8,14688,396,0.0269607843137255,28
"[0,1,2,4,6,7,8,13,16,22,28,29,30]",13,14688,104,0.00708061002178649,28
"[0,1,2,4,6,7,8,13,16,22,28,29,30]",16,14688,240,0.0163398692810458,28
"[0,1,2,4,6,7,8,13,16,22,28,29,30]",22,14688,13,0.000885076252723312,28
"[0,1,2,4,6,7,8,13,16,22,28,29,30]",28,14688,297,0.0202205882352941,28
"[0,1,2,4,6,7,8,13,16,22,28,29,30]",29,14688,1148,0.0781590413943355,28
"[0,1,2,4,6,7,8,13,16,22,28,29,30]",30,14688,430,0.0292755991285403,28
"[0,1,3,4,5,6,7,8,11,13,18,19]",0,1692,1499,0.885933806146572,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",1,1692,0,0,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",3,1692,0,0,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",4,1692,11,0.00650118203309693,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",5,1692,22,0.0130023640661939,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",6,1692,30,0.0177304964539007,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",7,1692,77,0.0455082742316785,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",8,1692,31,0.0183215130023641,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",11,1692,3,0.00177304964539007,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",13,1692,18,0.0106382978723404,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",18,1692,1,0.000591016548463357,4
"[0,1,3,4,5,6,7,8,11,13,18,19]",19,1692,0,0,4
"[0,1,3,4,5,6,7,8,9,11,13,19]",0,1476,1304,0.883468834688347,4
"[0,1,3,4,5,6,7,8,9,11,13,19]",1,1476,0,0,4
"[0,1,3,4,5,6,7,8,9,11,13,19]",3,1476,0,0,4
"[0,1,3,4,5,6,7,8,9,11,13,19]",4,1476,12,0.00813008130081301,4
